"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"shs_ch_b_r","~1","",2,2,3.15376811594203,0.136543175106483,23.0972226439188,0,3.00342727558061,3.35599301427446,3.17971014492754,1.90333810757049
"bpurp_1","~1","",2,2,3.89202898550725,0.0709224612380141,54.8772408284829,0,3.74905675954051,3.95529106654645,3.85217391304348,3.94197131733325
"bpurp_2","~1","",2,2,3.93579710144928,0.0638448643336853,61.6462599227845,0,3.83363741337327,4.02143505039485,3.92753623188406,4.41365712964705
"bpurp_3","~1","",2,2,3.60666666666667,0.0771044925816999,46.77634915819,0,3.47678380472613,3.71162199237532,3.59420289855072,3.22999918382301
"bpurp_4","~1","",2,2,3.56333333333333,0.0786131006641651,45.3274747240397,0,3.44684686055412,3.66039951625747,3.5536231884058,3.51184148303628
"shs","~1","",2,2,0,0,NA,NA,0,0,0,0
"bpurp","~1","",2,2,0,0,NA,NA,0,0,0,0
"shs","=~","shs_gh_a",3,3,1,0,Inf,0,1,1,1.64932250026527,0.949966308423364
"shs","=~","shs_rh_a",3,3,0.992860357713001,0.0361705918155137,27.4493810545605,0,0.937042899981642,1.03791420970296,1.62867059903084,0.943741106197662
"shs","=~","shs_ch_a",3,3,0.93478914015743,0.0404391854358961,23.1159240741694,0,0.846249434433404,0.9587175092438,1.48848629622093,0.873844645641958
"shs","=~","shs_ch_b_r",3,3,0.798947416150099,0.0716294770432103,11.1538915140779,0,0.67847117678422,0.877977821516187,1.2835431767061,0.713982882810098
"bpurp","=~","bpurp_1",3,3,1,0,Inf,0,1,1,0.759619151261526,0.811027821077711
"bpurp","=~","bpurp_2",3,3,0.903058529227916,0.0855318688114019,10.5581526719493,0,0.83629821420573,1.08066083978452,0.728079404797586,0.758580140242849
"bpurp","=~","bpurp_3",3,3,1.2725585489115,0.10700054681546,11.8930097722419,0,1.12506606035735,1.42589258214247,0.968878519459484,0.861669059951981
"bpurp","=~","bpurp_4",3,3,0.995413793423032,0.108028368076285,9.21437406811623,0,0.86227770567509,1.17671757170268,0.77442993101398,0.713697492001073
"shs","~~","bpurp",3,3,0.35870499512821,0.110722127507111,3.23968662095272,0.00119661132953497,0.287837006282015,0.575546340438376,0.344565810701541,0.344565810701541
"shs_gh_a","~~","shs_gh_a",3,3,0.292917382530196,0.059527243234316,4.92072816772634,8.62228161535583e-07,0.182447877231747,0.405737755701695,0.294092816466721,0.097564012860486
"shs_rh_a","~~","shs_rh_a",3,3,0.345648233944732,0.0717734392884749,4.81582375557464,1.46593870287148e-06,0.20134169805208,0.450017233564515,0.325679465808297,0.109352724472813
"shs_ch_a","~~","shs_ch_a",3,3,0.720575598159065,0.1130507540592,6.37391235605321,1.84265935843086e-10,0.535947150470745,0.835851868382296,0.68589950942652,0.236395535282881
"shs_ch_b_r","~~","shs_ch_b_r",3,3,1.73843540501101,0.255830274916884,6.79526848640493,1.08111297691948e-11,1.29402293610204,1.87462410759145,1.58432352184675,0.490228443054182
"bpurp_1","~~","bpurp_1",3,3,0.322170904154311,0.0531362848166633,6.06310556460432,1.33517974454378e-09,0.209482432696503,0.390962653079661,0.300222542888082,0.342233873437941
"bpurp_2","~~","bpurp_2",3,3,0.429770156315596,0.0722159514329305,5.95118042188697,2.66215427480176e-09,0.289555246451101,0.492648170407224,0.391101708429162,0.42455617082914
"bpurp_3","~~","bpurp_3",3,3,0.270614742235548,0.0627875033385414,4.31000960137611,1.63247458186966e-05,0.233555153189031,0.417637454767768,0.3255963039784,0.257526431121469
"bpurp_4","~~","bpurp_4",3,3,0.519182387401358,0.0838132770668482,6.19451243968501,5.84657211533113e-10,0.459779502827926,0.695601513323373,0.577690508075649,0.490635889911379
"shs","~~","shs",3,3,2.73653169173889,0.1917369525691,14.2723228625044,0,2.42451100329252,3.01601841647008,1,1
"bpurp","~~","bpurp",3,3,0.629868830255328,0.117594644869608,5.35627137573947,8.49568793093169e-08,0.426667387868058,0.727375122058505,1,1
"shs_gh_a","~1","",3,3,4.10753623188406,0.136214557359139,30.154899090956,0,3.87186802909529,4.23827689844094,4.05507246376812,2.33561490743954
"shs_rh_a","~1","",3,3,3.81840579710145,0.142275219192791,26.8381649226441,0,3.63528751111193,3.99949509758372,3.81739130434783,2.21200597253879
"shs_ch_a","~1","",3,3,3.74057971014493,0.142211074441501,26.3030127916207,0,3.44344656775026,3.80293024384395,3.6231884057971,2.12706277282911
"shs_ch_b_r","~1","",3,3,4.01405797101449,0.137855486605512,29.1178687903887,0,3.80160696068765,4.18100173496453,3.99130434782609,2.22020032995419
"bpurp_1","~1","",3,3,3.93594202898551,0.0818560595632135,48.083697773724,0,3.80261699520959,4.00028155551504,3.90144927536232,4.16548727028201
"bpurp_2","~1","",3,3,3.92115942028986,0.0935961291452903,41.8944614066571,0,3.78857690263771,3.99113324228982,3.88985507246377,4.05280905757012
"bpurp_3","~1","",3,3,3.59768115942029,0.110719614312895,32.4936207712321,0,3.394393545183,3.63169341133873,3.51304347826087,3.12431415361775
"bpurp_4","~1","",3,3,3.59275362318841,0.0888957378646009,40.4153642175805,0,3.30868808516617,3.53768872642803,3.4231884057971,3.15473470487602
"shs","~1","",3,3,0,0,NA,NA,0,0,0,0
"bpurp","~1","",3,3,0,0,NA,NA,0,0,0,0
